name,aff_no,state,district,address,pincode,ph_no,email,website,status
VISHNU SCHOOL,130240,ANDHRA PRADESH,WEST GODAVARI,"VISHNUPURAM , KOVVADA , BHIMAVARAM, WEST GODAVARI DISTRICT ANDHRA PRADESH",534202,02642,sathiyamoorthy.r@vps.edu.in,,Senior Secondary
YMCA CENTENARY SCHOOL,2130480,UTTAR PRADESH,ALLAHABAD,13 SAROJINI NAIDU MARG ALLAHABAD UTTAR PRADESH,211001,0532,reemsmas@gmail.com,http://www.aees.gov.in,Senior Secondary
JABAL FARASAN INTERNATIONAL SCHOOL,5730028,FOREIGN SCHOOLS,SAUDI ARABIA,"P.O.BOX-103,
RABEGH, JEDDAH (KSA)",021911,0472,principaljfis@gmail.com,,Senior Secondary
GOVT GIRLS SR SEC SCHOOL,2764045,DELHI,,M B ROAD NEW DELHI,110017,011,rashmisaxena.ss@gmail.com,,Senior Secondary
ST. SOLDIER ELITE CONVENT SCHOOL CHAWINDA DEVI,1631067,PUNJAB,AMRITSAR,VPO CHAWINDA DEVI,143504,,ssecschool@yahoo.com,,Secondary School
CH AJAB SINGH MEMORIAL PUBLIC SCHOOL,2130656,UTTAR PRADESH,,BHOURA KALAN MUZAFARNAGAR UTTAR PRADESH,251319,0131,,,Senior Secondary
SAI INTERNATIONAL SCHOOL,1530112,ODISHA,KHURDA,"5 A,CHANDAKA INDUSTRIAL ESTATE INFOCITY ROAD",751024,,principal@saiinternationalschool.com,http://www.saiinternationalschool.com,Senior Secondary
S G INTERNATIONAL PUBLIC SCHOOL,830144,KARNATAKA,BANGALORE,8TH MAIN SARASWATHIPURAM MAHALAXMI LAYOUT BANGALORE KARNTAKA,560086,080,principal.sgips@gmail.com,,Secondary School
BAHMAN PUBLIC SCHOOL,2130950,UTTAR PRADESH,MORADABAD,"SAMBHAL MORADABAD ROAD, DISTT MORADABAD,UTTAR PRADESH-244301",244301,0484,ibneyabbas@rediffmail.com,,Senior Secondary
SRI SRI RAVISHANKAR VIDYA MANDIR,931165,KERALA,THIRUVANANTHAPURAM,"MARUTHANKUZHY, KANJIRAMPARA P.O., THIRUVANANTHAPURAM, 695030",695030,,rajeswary69@gmail.com,,Senior Secondary
VIVEKANANDA KENDRA VIDYALAYA,230015,ASSAM,DIBRUGARH,EAST CHOWKIDINGEE DIBRUGARH  ASSAM,786001,0161,principalvkvdbr@vkspv.org,http://www.zeeschoolvaranasi.com,Senior Secondary
TIKA RAM MODEL SCHOOL,531176,HARYANA,SONEPAT,WEST RAM NAGGAR,131001,,trmsonepat@gmail.com,,Senior Secondary
"MOUNT LITERA ZEE SCHOOL, BARAUT",2132273,UTTAR PRADESH,BAGHPAT,"SAHAPUR BADOLI , DELHI SAHARANPUR ROAD",250611,,principal.baraut@mountlitera.com,,Secondary School
N P BOYS MODEL SEC SCHOOL,2778065,DELHI,,BALMIKI BASTI NEW DELHI,110001,,,,Secondary School
BHARTIYA VIDYA BHAVAN'S,430089,GUJARAT,SURAT,GIPCL ACADEMY DISTT SURAT GUJARAT,394110,02629,trishlasndp@yahoo.com,http://www.bvbgipcl.com,Senior Secondary
SHRI GURU RAM RAI PUBLIC SCHOOL,3530252,UTTARAKHAND,DEHRADUN,VILL. & P.O.:- SAHASPUR,248197,04962,prabhatbhandari90@gmail.com,,Secondary School
GOVT. SEC SCHOOL,1820103,SIKKIM,WEST DISTRICT,BERMIOK MARTAM GYALSHING WEST SIKKIM,737135,,bermioksecondary@gmail.com,,Secondary School
DELHI PUBLIC SCHOOL,730054,JAMMU & KASHMIR,LEH,"MANALI ROAD, CHOGLAMSAR, NEAR ITBP, LEH LADAKH, JAMMU & KASHMIR-194101",194101,,skdps61@gmail.com,,Senior Secondary
JAIPUR INTERNATIONAL PUBLIC SCHOOL,1730653,RAJASTHAN,JAIPUR,"KANTI CHANDRA ROAD, BANIPARK, JAIPUR",302016,06671,mkkulshreshta@gmail.com,http://www.jipsbanipark.org,Secondary School
ST. PETERS HIGH SCHOOL,3630113,TELANGANA,RANGAREDDY,"SY.NO. 623, ADJ. TO ST. PETERS ENGNEERING COLLEGE, MAISAMMAGUDA, DHULLAPALLY POST, MEDCHAL MANDAL, RANGAREDDY DIST. A.P",500014,,tvreddy1@yahoo.co.in,,Secondary School
GOVT. SECONDARY SCHOOL,2520089,ANDAMAN & NICOBAR,,"KUITASUKH, CHOWRA, ISLAND, NANCOWRY, A & N ISLAND",,03193,gsskuitasuk@gmail.com,,Secondary School
G.D.PUBLIC SCHOOL,2132038,UTTAR PRADESH,ALIGARH,"IGLAS ROAD , KHAIR ALIGARH UP",202138,,gdpsaligarh@yahoo.co.in,http://www.gdpublicschoolaligarh.com,Secondary School
DOON WORLD SCHOOL,3530514,UTTARAKHAND,DEHRADUN,"RAKSHA VIHAR, BEHIND AANCHAL DAIRY,NEAR SAHASTRADHARA CROSSING",248001,,info@doonworldschool.com,http://www.doonworldschool.com,Secondary School
RAMANA VIDYALAYA,1930268,TAMILNADU,KANCHEEPURAM,"371,MGR STREET , SHOLINGANALLUR, CHENNAI600119",600119,05683,principal@ramanaschool.com,,Senior Secondary
"SMT.KUNANI BOLA MEMORIAL PUBLIC SCHOOL, MANDELLA",1730487,RAJASTHAN,JHUNJHUNU,"V.P.O.- MANDRELLA, TEHSIL - CHIRAWA, DISTT. - JHUJHUNU 333025",333025,,subhashchandrabola@gmail.com,http://www.prbola.org/,Senior Secondary
K.L.E. SOCIETY'S ENGLISH MEDIUM SCHOOL,830261,KARNATAKA,DHARWAD,"MANJUNATHNAGAR, GOKUL ROAD, HULBI-30",580030,080,kleschool_man@yahoo.com,,Secondary School
HOLY CHILD ENGLISH SCHOOL,230149,ASSAM,SONITPUR,GOPALPUR JAMUGURIHAT PUB BORBHAGIA SONITPUR ASSAM,784180,,sanjaynewar2013@gmail.com,,Secondary School
SHANTI PUBLIC SCHOOL,2131588,UTTAR PRADESH,MEERUT,"VILL.-KURALI, BAGHPAT ROAD",250501,,salhotrasunil@gmail.com,http://www.shantiedu.com,Senior Secondary
"MISS HILL SCHOOL, GWALIOR",1030620,MADHYA PRADESH,GWALIOR,"LAXMI BAI COLONY,PADAV",474002,0479,dr.sp.singh2464@gmail.com,,Senior Secondary
D.A.V. PUBLIC SCHOOL,3330136,CHATTISGARH,KORIYA,"S.E.C.L.JHILIMILI, PANDAVPARA, BAIKUNTHPUR, DIST.KORIYA, C.G",497331,,pstm14@gmail.com,,Senior Secondary
CRESCENT PUBLIC SCHOOL,2730196,DELHI,,D BLOCK SARASWATI VIHAR  PITAMPURA DELHI,110034,011,mainisunil@gmail.com,,Senior Secondary
NARMADA DEVI SINGHANIA INTERNATIONAL SCHOOL,1730230,RAJASTHAN,JHUNJHUNU,PACHERI BARI DISTT JHUNJHUNU RAJASTHAN,333515,01593,sarojtashu@rediffmail.com,,Senior Secondary
GONDIA PUBLIC SCHOOL,1130047,MAHARASHTRA,GONDIYA,"GONDIA KHURD, RIVER ROAD, DISTT GONDIA,  MAHARASHTRA",441601,07182,eerataldar@gmail.com,,Senior Secondary
SREE SANKARA VIDYALAYAM ENGLISH MEDIUM SCHOOL,930602,KERALA,KOTTAYAM,EAST GATE VAIKOM KOTTAYAM DISTT KERALA,686142,0482,rinjimaravindran@ssv.org.in,,Senior Secondary
BUDS INTERNATIONAL SCHOOL,1130546,MAHARASHTRA,PUNE,"1031 NEWALE VASTI, AT POST- CHIKHALI, TAL- HAVELI, DIST. PUNE",411062,,info@dypatilsanstha.com,http://www.budsinternationalschool.com,Secondary School
SANGANABASAVA SHISHUNIKETAN SCHOOL,830799,KARNATAKA,BIJAPUR,"N.H.13, SOLAPUR BYPASS ROAD, BEHIND SANSKRUTI COLONY, BIJAPUR",586103,,sanganabasava.shishuniketan@gmail.com,http://www.sirs.ac.in,Middle Class
LITTLE FOLKS GURUKULUM,2132831,UTTAR PRADESH,CHANDAULI,"VILL-BHUPAULI, SAKALDIHA",232101,,littlefolksgurukulum@gmail.com,,Secondary School
KIRAN PUBLIC SCHOOL,3430334,JHARKHAND,GIRIDIH,"KOLDIHA,GIRIDIH",815301,,suryaprakashpkps@gmail.com,http://www.kiranpublicschool.com,Secondary School
C R SAINI PUBLIC SCHOOL,2730576,DELHI,WEST DELHI,"E-BLOCK, LAXMI PARK, SAINI VIHAR, NANGLOI, DISTT WEST DELHI, DELHI-41",110041,0161,rodhemsell@yahoo.com,http://www.auroville.org.in,Senior Secondary
SWAMI SHRADHANAND DAV CENTENARY PUBLIC SCHOOL,3430165,JHARKHAND,RANCHI,KHUNTI RANCHI JHARKHAND,835210,06528,davkhunti36@yahoo.com,,Senior Secondary
CHAMELI DEVI PUBLIC SCHOOL,1030187,MADHYA PRADESH,INDORE,TEJPUR  GADBADI KESAR BAGH ROAD INDORE MADHYA PRADESH,452012,0731,info@cpsindore.com,,Senior Secondary
GOVT. S.A.S. ADARSH SEC SCHOOL,1670001,PUNJAB,FARIDKOT,"PACCA, FARIDKOT-151203 (PUNJAB)",151203,,,,Secondary School
SIR SYED ENGLISH SCHOOL,930150,KERALA,THRISSUR,PUTHUMANASSERY PAVARATTY POST  THRISSUR DIST DISTT. TRICHUR KERALA,680507,0487,salilhassan@gmail.com,sirsyedschool.org,Senior Secondary
WONDERLAND HIGH SCHOOL,1130084,MAHARASHTRA,NAGPUR,BOKHARA ROAD OPP KORADI NAKA NAGPUR MAHARASHTRA,441111,0712,bhaskarfly@yahoo.com,,Secondary School
GOVT SEC SCHOOL,2220127,ARUNACHAL PRADESH,,YANMAN DT- CHANGLANG ARUNACHAL PRADESH,792102,,headmaster-yanman@gmail.com,,Secondary School
GOVT. BOYS SR SEC SCHOOL,2750164,DELHI,,"SHAHBAD, DAULATPUR, DELHI",110042,011,thakral1969@gmail.com,,Senior Secondary
RASHTRA SHAKTI VIDYALAYA,2730230,DELHI,,HASTSAL (GANDHI NIDHI) NEAR UTTAM NAGAR NEW DELHI,110059,,rsvprshashi.09@gmail.com,,Senior Secondary
LORD KRISHNA PUBLIC SCHOOL,2132286,UTTAR PRADESH,HATHRAS,MATHURA ROAD,204101,,principallkpshts@gmail.com,http://www.lordkrishnaschool.in,Secondary School
"JAIHIND SCHOOL, UDGIR",1130411,MAHARASHTRA,LATUR,"SURVEY NO. 184, BODHAN NAGAR, JALKOT ROAD, LATUR, MAHARASHTRA",413517,0712,sudhir.jagtap7@gmail.com,http://www.svspm.edu.in,Secondary School
INDIRA GANDHI PUBLIC SCHOOL,930666,KERALA,KANNUR,MAMBARAM THALASSERY KANNUR DISTT KERALA,670741,0490,veeyaar.madhu@gmail.com,,Senior Secondary
S B DARUR MEMORIAL ENGLISH MEDIUM SCHOOL HARUGERI,830662,KARNATAKA,BELGAUM,AP HARUGERI,591220,,yashsayyed@gmail.com,,Secondary School
GOVT. ADARSH SEC. SCHOOL,1620020,PUNJAB,TARANTARAN,BALER KHURD,121001,01851,adarshschoolbaler@yahoo.com,,Senior Secondary
HOLY INTERNATIONAL SCHOOL,2730639,DELHI,WEST DELHI,"OM VIHAR, PHASE-V, HASTSAL NAWADA ROAD, UTTAM NAGAR",110059,011,,,Senior Secondary
SKY PUBLIC SCHOOL,2132695,UTTAR PRADESH,LUCKNOW,"GAURI-BIJNORE ROAD , NATKUR ,POST CHANDRAWAL LUCKNOW",226002,,skypublicschool@gmail.com,http://www.skypublicschool.com,Secondary School
PANTOCRATOR ACADEMY,330414,BIHAR,MUZAFFARPUR,"TURKI, CHHAJAN ROAD, KUDHANI",844127,06344,pantocratoracademy@gmail.com,http://www.pantocratoracademy.org.in,Senior Secondary
RUNGTA PUBLIC SCHOOL,3330201,CHATTISGARH,DURG,"KOHKA ROAD, KURUD, BHILAI",490024,,principal@rungtapublicschool.ac.in,http://www.rungtacolleges.com,Senior Secondary
BHARTI VIDHYA MANDIR INTERNATIONAL SCHOOL,1030475,MADHYA PRADESH,SEHORE,SEHORE ROAD NASRULLAGANJ,466331,0477,sankumarkambli@gmail.com,,Senior Secondary
GURU HARKRISHAN PUBLIC SCHOOL,1730086,RAJASTHAN,,11 P.S. RAISINGH NAGAR DISTT SRIGANGANAGAR RAJASTHAN,335051,01507,ghksch11ps@gmail.com,,Senior Secondary
EBENEZER HIGH SCHOOL,2030033,TRIPURA,SOUTH TRIPURA,TWIPHUMA PO- SAKBARI PS- MANU BAZAR,799143,,ebenezerhighschool85@gmail.com,,Secondary School
CENTRE POINT SCHOOL,1130021,MAHARASHTRA,NAGPUR,"KATOL ROAD, DISTT NAGPUR, MAHARASHTRA",440013,0712,shilpee.ganguly@centrepointschools.com,,Senior Secondary
IDEAL ENGLISH SCHOOL,930294,KERALA,WAYANAD,SEHAGIRI SULTHAN BATHERY WAYANAD DISTT  KERALA,673592,0493,dech_28gstar@yahoo.co.in,,Senior Secondary
GOVT. BOYS SR. SEC. SCHOOL,2752141,DELHI,EAST DELHI,LALITA PARK (RAMESH PARK) DELHI-110092,110092,011,prathvi1.singh@gmail.com,,Senior Secondary
GOVT GIRLS HIGHER SEC SCHOOL,3320085,CHATTISGARH,,CHOUBEY COLONY RAIPUR CHHATTISGARH,,,,,Senior Secondary
GOVT SEC SCHOOL,2220072,ARUNACHAL PRADESH,,BAMENG VIA- SEPPA DT - EAST KAMENG ARUNACHAL PRADESH,790102,,,,Secondary School
TINY TOTS CONVENT,2132431,UTTAR PRADESH,LUCKNOW,"RASOOLPUR, MADIYAON",226021,,tinytotsconvent@yahoo.in,,Secondary School
RAINBOW ENGLISH SCHOOL,2730171,DELHI,WEST DELHI,C-3 JANAKPURI NEW DELHI,110058,011,principal@rainbowschooljp.com,,Senior Secondary
ISHAQUE PATEL PUBLIC SCHOOL,1030118,MADHYA PRADESH,INDORE,IPPS BUILDING SAI KRIPA COLONY RING ROAD INDORE MADHYA PRADESH,452001,,principal_ippsindore@rediffmail.com,,Senior Secondary
BUDS GARDEN SCHOOL,3430311,JHARKHAND,DHANBAD,"DALUDIH, PO+PS-RAJGANJ, BAGHMARA, DHANBAD, JHARKHAND",828113,,pramod.buds@gmail.com,,Secondary School
SOMERSET INTERNATIONAL SCHOOL,1631170,PUNJAB,JULLUNDUR,"VILLAGE ABADAN, PO LAMBRA",144026,,somersetinternationalschool@gmail.com,http://www.somersetinternationalschool.com,Secondary School
VIJAYA VIDHYALAYA SCHOOL,1930597,TAMILNADU,COIMBATORE,"19 L&T BYE PASS ROAD, ONDIPUDUR, COIMBATORE, COIMBATORE",641016,,er.ezhil267@gmail.com,,Secondary School
ARMY PUBLIC SCHOOL,780002,JAMMU & KASHMIR,UDHAMPUR,P.O. P T C UDHAMPUR JAMMU & KASHMIR,182104,,aps_udhampur@rediffmail.com,,Senior Secondary
"BENCHMARK INTERNATIONAL SCHOOL,",931136,KERALA,MALAPPURAM,"ILLATHAPPADI ROAD, SOUTH ANNARA, TIRUR 676101",676101,,jojipaul@gmail.com,,Senior Secondary
GOVT GIRLS SR SEC SCHOOL,2768007,DELHI,,NICHOLSON ROAD DELHI,110006,011,ggsssnicholsonroad1207043@gmail.com,,Senior Secondary
GLOBAL AGRA CONVENT  SCHOOL,2131901,UTTAR PRADESH,AGRA,"BADA GAON SHAMSHABAD ROAD,AGRA,UP",283125,,ravikants571@gmail.com,http://www.globalagraconventschool.com,Senior Secondary
GOVT MODEL HIGH SCHOOL,2620031,CHANDIGARH,,MANI MAJRA CHANDIGARH,160101,08301,secondofficerkatar@gmail.com,,Secondary School
JBDIAMONDS & KARP IMPEX VIDYA SANKUL,430155,GUJARAT,SURAT,"OPP.DIAMOND NAGAR, B/H THAKORDWAR FARM, SURAT- KAMREJ ROAD, LASKANA,",395006,,mukulbhandari07@yahoo.com,http://www.jbkarpschool.com,Senior Secondary
DON BOSCO PUBLIC SCHOOL,3530112,UTTARAKHAND,NAINITAL,PO DOGAON VIA KATHGODAM NAINITAL UTTARANCHAL,263127,05942,dbps.uk@mail.com,,Senior Secondary
BASANT PUBLIC HIGH SCHOOL,530829,HARYANA,REWARI,DHANI BHALKHI,123102,,basantpublicschool@gmail.com,,Secondary School
R R PUBLIC SCHOOL,2130688,UTTAR PRADESH,BIJNOUR,SEOHARA ROAD PO NOPUR BIJN UTTAR PRADESH,246734,01345,principal@rrpubliccschool.com,,Senior Secondary
ATOMIC ENERGY CENTRAL SCHOOL NO 4,1780004,RAJASTHAN,CHITTORGARH,ANUKIRAN COLONY RAWATBHATA VIA KOTA (DISTT CHITTORGARH) RAJASTHAN,323307,,aecsrbt4@yahoo.co.in,,Senior Secondary
JAIN GLOBAL SCHOOL,830408,KARNATAKA,KOLAR,"JAIN GLOBAL SCHOOL
#179/899, INDRA NAGAR,
BANGARPET - 563114",563114,,principal@jainglobal.in,http://www.jainglobal.in,Secondary School
M.P.MEMORIAL SCHOOL & HOSTEL,2131531,UTTAR PRADESH,VARANASI,"CHITAIPUR, KANDWA, VARANASI, UP",221106,,principalmpmschool@gmail.com,,Secondary School
GOVT GIRLS SR SEC SCHOOL,2760031,DELHI,,TULSI NAGAR DELHI,110035,011,ggssstulsinagar@gmail.com,,Senior Secondary
HARYANA VIDYA MANDIR,2430046,WEST BENGAL,CALCUTTA,BA-193 SECTOR-1 SALT LAKE CITY CALCUTTA WEST BENGAL,700064,,sen_nadi@hotmail.com,,Senior Secondary
MARIVANIOS BETHANY PUBLIC SCHOOL,930982,KERALA,IDUKKI,KOCHARA P.O. CHETTUKUZHY,685551,,sicsrluciya@gmail.com,,Senior Secondary
SCHOLARS INTERNATIONAL SCHOOL,3630092,TELANGANA,RANGAREDDY,"89, ALAKAAPOOR TOWNSHIP,
PUPPALAGUD(V), RAJENDRANAGAR(M),
RANGA REDDY (DIST),
AP-500089",500089,,info@sishyderabad.com,http://www.sishyderabad.com,Secondary School
EKLAVYA PUBLIC SCHOOL,2131132,UTTAR PRADESH,GHAZIABAD,"PIPE LINE ROAD, MURADNAGAR, MODINAGAR, GHAZIABAD",201206,01822,eps.principal42@gmail.com,,Senior Secondary
MAHARISHI INTERNATIONAL RESIDENTIAL SCHOOL,1930210,TAMILNADU,KANCHEEPURAM,"SANTHAVELUR,
SUNGUVARCHATIRAM,
SRIPERUMBUDUR TALUK,
KANCHEEPURAM DISTRICT,
PIN :602106.",602106,,meerasarathy966@gmail.com,,Senior Secondary
SATYA LAKSHYA EURO WORLD SCHOOL,1730630,RAJASTHAN,SRI GANGANAGAR,"EKTA COLONEY,SHRIGANGA NAGAR",335001,,shalinimiglani@outlook.com,,Secondary School
"ST. GEORGE ENGLISH MEDIUM SCHOOL, DHAR",1030354,MADHYA PRADESH,DHAR,"NEAR RTO OFFICE, RATLAM ROAD, DISTT DHAR, MADHYA PRADESH",454001,,stgeorgeemschool454001@gmail.com,,Senior Secondary
THE TRIBHUVAN SCHOOL,330557,BIHAR,PATNA,"PLOT NO. 328,331,332,333 ASHUPUR, KHAGOL, DANAPUR, PATNA BIHAR",801503,,viceprincipal@thetribhuvanschool.com,http://www.thetribhuvanschool.com,Senior Secondary
SPRINGDALES PUBLIC SCHOOL,530407,HARYANA,YAMUNANAGAR,BILASPUR BYE PAS ROAD JAGADHARI HARYANA,135003,01732,dewans_neera@yahoo.com,,Senior Secondary
SKOMIYA ACADEMY,2131484,UTTAR PRADESH,KANPUR,"PLOT NO. 1671, CANAL ROAD, BOODHPUR MACHHARIA, NAUBASTRA, KANPUR, UP- 208021",208021,,shivnath.principal@gmail.com,,Senior Secondary
S S D KRISHNA VATIKA SCHOOL,1630272,PUNJAB,BHATINDA,BATHINDA GONIANA ROAD BHOKHRA BATHINDA PUNJAB,151001,0164,ritanavalsharma54@gmail.com,,Senior Secondary
HOLY CROSS VIDYA SADAN,930548,KERALA,KOTTAYAM,THELLAKOM PO KOTTAYAM DISTT KERALA,686016,0481,ranijosephscc@gmail.com,,Senior Secondary
SHIVALIK PUBLIC SCHOOL,1630589,PUNJAB,FEROZEPUR,"MUKTSAR ROAD, TEH. JALALABAD, CHAK ARIAN WALA, DIST. FEROZEPUR",152024,,doomraradhika@gmail.com,,Senior Secondary
KENDRIYA VIDYALAYA,200060,ASSAM,KAMRUP,"N F RAILWAY, RANGIA, DISTT. KAMRUP, ASSAM",781365,03621,principal.rnsarkar@gmail.com,,Senior Secondary
KENDRIYA VIDYALAYA NO 2,700002,JAMMU & KASHMIR,JAMMU,JAMMU CANTT JAMMU & KASHMIR,180003,0911,principalkv2jammucantt@gmail.com,,Senior Secondary
SRI KRISHNA PUBLIC SCHOOL,530673,HARYANA,YAMUNANAGAR,"VILLAGE KHAJURI
P.O.- NAGAL
DISTT. YAMUNANAGAR(135001), HARYANA",135001,,skps.cbse@gmail.com,,Senior Secondary
DR. A.K.PUBLIC SCHOOL,2132571,UTTAR PRADESH,AKBARPUR,TAMSA MARG MEERANPUR AKBARPUR AMBEDKAR NAGAR,224122,,rsyakps@gmail.com,,Secondary School
S R DAV PUBLIC SCHOOL,330109,BIHAR,PURNEA,CHUNAPURA ROAD CHUNAPUR AERODROME DISTT PURNEA BIHAR,854303,06115,nirajdav@rediffmail.com,,Senior Secondary
BIBI SATWANT KAUR PUBLIC SCHOOL,1630623,PUNJAB,HOSHIARPUR,"VPO MUSAHIBPUR
TEHSIL MUKERIAN",144211,,bskpublic25385@gmail.com,,Senior Secondary
JAYRAJI DEVI PUBLIC SCHOOL,2131316,UTTAR PRADESH,SANT RAVIDAS NAGAR,"G.T. ROAD, JANGIGANJ, SANT RAVIDAS NAGAR BHADOHI-221310",221310,08744,antoniok30777@gmail.com,,Senior Secondary
NEHRU WORLD SCHOOL,2130155,UTTAR PRADESH,GHAZIABAD,E BLOCK SHASTRI NAGAR GHAZIABAD UTTAR PRADESH,201002,0120,principal@nehruworldschool.com,,Senior Secondary
HINDU SENIOR SECONDARY SCHOOL,530235,HARYANA,SONEPAT,NEW COURT ROAD BEHIND PANCHAYAT ASHRAM SONIPAT HARYANA,131001,01285,shammisaxena@yahoo.com,,Senior Secondary
GOVT SARVODAYA GIRLS SR SEC SCHOOL,2762041,DELHI,,MAYUR VIHAR PHASE I DELHI,110091,011,anniesingh30@gmail.com,,Senior Secondary
KENDRIYA VIDYALAYA,600018,HIMACHAL PRADESH,HAMIRPUR,NADAUN DISTT HAMIRPUR HIMACHAL PRADESH,177033,01972,skdkvhmr@gmail.com,,Secondary School
NANKANA SAHIB PUBLIC SENIOR SECONDARY SCHOOL BUDHEWAL,1630974,PUNJAB,LUDHIANA,V.PO. BUDHEWAL,141112,,budhewalnsphs@yahoo.in,,Senior Secondary
ST.XAVIER HIGH SCHOOL,1530204,ODISHA,RAYAGADA,"NEW COLONY, RAYAGADA",765001,,ashmimanash@gmail.com,,Senior Secondary
JAN PETER MEMORIAL SCHOOL,130438,ANDHRA PRADESH,RANGAREDDY,"SURVEY NO 386,",501509,,samrobinhr@gmail.com,,Secondary School
MUNDLUR GANGAPPA MEMORIAL SCHOOL,830236,KARNATAKA,BELLARY,MGM SCHOOL COURT ROAD,583101,0821,uma36@gmail.com,http://www.tlmes.com,Secondary School
NEW R.S.J. PUBLIC SCHOOL,2131041,UTTAR PRADESH,ALLAHABAD,"USTAPUR-MAHMOODABAD, CHATNAG ROAD, JHUSI, ALLAHABAD",211019,07767,sasjaiswal@gmail.com,,Senior Secondary
"MALABAR ENGLISH SCHOOL, MATTANUR",931253,KERALA,KANNUR,"MALABAR ENGLISH SCHOOL, MATTANUR, PO MATTANUR.",670702,,principalmesmtr@gmail.com,,Secondary School
SHRI TEKCHAND JAIN HIGHER SECONDARY SCHOOL AMBAH,1030752,MADHYA PRADESH,MORENA,USAIDGHAT ROAD AMBAH,476111,,alokamb003@yahoo.co.in,,Secondary School
DAV MUKHYAMANTRI PUBLIC SCHOOL,3320235,CHATTISGARH,,"MELASNAU, BLOCK & TEHSIL- BHAIRAMGARH, DISTT- BIJAPUR, CHHATTISGARH",494228,,lokeshkumar.sahu5@gmail.com,,Senior Secondary
NATIONAL ACADEMY,230116,ASSAM,NAGAON,"RAIDONGIA, AIBHETI, NAGAON",782002,,nationalacademy2011@gmail.com,,Secondary School
JEEVAN JYOTI SR. SEC. SCHOOL,531087,HARYANA,PALWAL,"KRISHNA COLONY, ALIGARH ROAD, PALWAL",121102,,manjitsingh1015@gmail.com,http://www.jjspalwal.com,Senior Secondary
SILVER STONE PUBLIC SCHOOL,2132181,UTTAR PRADESH,MORADABAD,BAHJOI ROAD CHANDAUSI,244412,,sandy007.115@gmail.com,,Secondary School
"DAV ISPAT SENIOR SECONDARY PUBLIC SCHOOL,",3330006,CHATTISGARH,BALOD,"RAJHARA MINES DIST BALOD, CHHATTISGARH",491228,07748,davispatrm@gmail.com,,Senior Secondary
RAJPUTANA RIFLES H M COED S S SCHOOL,2776003,DELHI,,DELHI CANTT NEW DELHI,110010,,rrhmsss@gmail.com,,Senior Secondary
SDR (EM) HIGH SCHOOL,130472,ANDHRA PRADESH,KURNOOL,"UDUMALAPURAM (V), NANDYAL",518502,,sdrworldschool@gmail.com,http://www.sdrworldschool.com,Secondary School
KENDRIYA VIDYALAYA NO 3,1000023,MADHYA PRADESH,GWALIOR,7 TAGORE NAGAR UNIVERSITY ROAD THALPUR MORAR CANTT GWALIOR MADHYA PRADESH,474006,0751,kv3mgwl@gmail.com,http://www.kv3gwalior.org,Senior Secondary
MEERUT CITY PUBLIC SCHOOL,2130596,UTTAR PRADESH,MEERUT,SHIVSHAKTI NAGAR MEERUT UTTAR PRADESH,250002,0121,mcpsmeerut@gmail.com,,Senior Secondary
YADUVANSHI SHIKSHA NIKETAN,531439,HARYANA,MAHINDERGARH,BADHRA ROAD,123024,,ysnsatnali@gmail.com,http://www.yaduvanshischoolsatnali.edu.in,Senior Secondary
GOVERNMENT SECONDARY SCHOOL,1820161,SIKKIM,WEST DISTRICT,"MUKURUNG, P.O. DENTAM BAZAR, WEST SIKKIM",737122,,mukrung.ss55@yahoo.in,,Secondary School
GREEN FIELD ACADEMY,2130902,UTTAR PRADESH,LAKHIMPUR KHERI,"LAKHIM PUR KHERI,",262701,,gfa_lmp@rediffmail.com,,Senior Secondary
"ST.JOHNS VISITATION PUBLIC SCHOOL,MUPPATHADAM.ALUVA",931198,KERALA,ERNAKULAM,"MUPPATHADAM
ALUVA.683110.
KERALA.INDIA",683110,,srlucinajose@gmail.com,http://www.stjohnsvisitationschool.com,Secondary School
WISDOM WORLD SCHOOL,531151,HARYANA,KURUKESHTRA,"URBAN ESTATE, DISTRICT KURUKSHETRA, HARYANA",136118,,arawal@wisdom.edu.in,http://www.wisdom.edu.in,Senior Secondary
NATIONAL  HIGH SCHOOL,2430197,WEST BENGAL,CALCUTTA,"42/1,HAZRA ROAD,KOLKATA",700019,,mininhs@gmail.com,http://www.nhscal.com,Secondary School
GOVT SARVODAYA GIRLS SR SEC SCHOOL,2764013,DELHI,,JBAGH NEW DELHI,110003,,svjb14@gmail.com,,Senior Secondary
OXFORD INTERNATIONAL SCHOOL,1631040,PUNJAB,PATHANKOT,"OXFORD INTERNATIONAL SCHOOL, BRIDGE NO. 5,SOULI BOULI,SUJANPUR,DISTT AND TEH. PATHANKOT, PUNJAB PIN 145023",145023,,oisprincipal@outlook.com,,Secondary School
GREEN LAND SCHOOL,1130684,MAHARASHTRA,OSMANABAD,"ANAND NAGER , GREENLAND LANE",413501,,kct.greenland@gmail.com,,Middle Class
KENBRIDGE SCHOOL,830594,KARNATAKA,GULBARGA,"OPP NRUPATUNGA COLONY
SHAHABAD ROAD
GULBARGA",585105,,neeta.purohit63@gmail.com,,Secondary School
ORDNANCE FACTORY SCHOOL,1530067,ODISHA,BOLANGIR,AT/PO BODMAL DT BOLANGIR ORISSA,767770,,sravanorganic@gmail.com,,Secondary School
MES CENTRAL SCHOOL,930934,KERALA,ERNAKULAM,KUNNUKARA P.O.,683524,,cnelson91@yahoo.com,,Secondary School
